Time_Te,Te,Time_Ns,Ns,Time_Ia,Ia,Time_KW,KW
0.103398543,48.7139849,,,0.233,-18.24893003,,
0.103398543,41.64251665,,,0.234,-38.35057297,,
0.104219047,33.85365308,,,0.235,-53.0458636,,
0.104383148,27.19212501,,,0.236,-62.55213961,,
0.105322998,19.67344929,,,0.237,-66.48927163,,
0.106352358,12.74173338,,,0.238,-63.39039592,,
0.109183098,16.04687614,,,0.239,-53.04248478,,
0.109360874,23.05856145,,,0.24,-38.55638125,,
0.110290779,30.57413157,,,0.241,-19.06597526,,
0.110783082,37.33814468,,,0.242,1.829496254,,
0.111275384,44.71706807,,,0.243,21.53643304,,
0.111603586,51.99350641,,,0.244,43.69600427,,
0.11225999,59.16745971,,,0.245,56.17786672,,
0.11231469,66.71719151,,,0.246,67.4596531,,
0.113146134,73.92530649,,,0.247,71.39623254,,
0.113244595,80.99677474,,,0.248,66.60609757,,
0.114130739,88.68315327,,,0.249,57.53152797,,
0.114184445,95.58691871,,,0.25,43.7749027,,
0.11509073,103.1335449,,,0.251,23.83891585,,
0.11525856,110.0652608,,,0.252,2.922376434,,
0.11619841,117.2764814,,,0.253,-16.27135819,,
0.118706809,122.2543265,,,0.254,-37.04116871,,
0.120519733,113.450373,,,0.255,-51.17445497,,
0.121121436,106.5155515,,,0.256,-60.12881408,,
0.122106042,99.13662807,,,0.257,-64.76392435,,
0.122106042,92.06515982,,,0.258,-61.0784172,,
0.123045892,84.85393923,,,0.259,-52.05530232,,
0.123189107,77.86073229,,,0.26,-37.61878868,,
0.124075252,70.54329993,,,0.261,-19.04233182,,
0.124239353,63.16437654,,,0.262,0.247452899,,
0.125059857,56.09290829,,,0.263,21.78963774,,
0.125770961,48.3382064,,,0.264,39.49158726,,
0.126044462,41.64251665,,,0.265,55.30532417,,
0.127029068,34.26359326,,,0.266,64.37521336,,
0.128702896,27.25361604,,,0.267,67.97769566,,
0.131336715,33.11063648,,,0.268,63.90068558,,
0.131952094,40.41269609,,,0.269,54.52207848,,
0.132936699,47.48416434,,,0.27,41.35659167,,
0.133429001,54.46778826,,,0.271,20.78462601,,
0.133921304,61.62710084,,,0.272,0.531749825,,
0.134782834,68.92916044,,,0.273,-18.08053859,,
0.134905909,76.07749248,,,0.274,-37.32898357,,
