"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.72291193359E+005,  0.36265525400E+001,  0.30247431332E-004,  0.00000000000E+000,  0.31883896206E-006,  0.48458283077E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72291240234E+005,  0.36265486227E+001,  0.30247398487E-004,  0.00000000000E+000,  0.31883861606E-006,  0.48458230436E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72291333984E+005,  0.36265407877E+001,  0.30247332797E-004,  0.00000000000E+000,  0.31883792404E-006,  0.48458125151E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72291521484E+005,  0.36265251169E+001,  0.30247201409E-004,  0.00000000000E+000,  0.31883653992E-006,  0.48457914569E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72291896484E+005,  0.36264937720E+001,  0.30246938605E-004,  0.00000000000E+000,  0.31883377139E-006,  0.48457493361E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72292646484E+005,  0.36264310702E+001,  0.30246412897E-004,  0.00000000000E+000,  0.31882823326E-006,  0.48456650784E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72294146484E+005,  0.36263056264E+001,  0.30245361144E-004,  0.00000000000E+000,  0.31881715345E-006,  0.48454965088E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72294158203E+005,  0.36263046463E+001,  0.30245352927E-004,  0.00000000000E+000,  0.31881706689E-006,  0.48454951919E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72294181641E+005,  0.36263026863E+001,  0.30245336493E-004,  0.00000000000E+000,  0.31881689377E-006,  0.48454925579E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72294228516E+005,  0.36262987661E+001,  0.30245303625E-004,  0.00000000000E+000,  0.31881654752E-006,  0.48454872901E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72294322266E+005,  0.36262909255E+001,  0.30245237888E-004,  0.00000000000E+000,  0.31881585500E-006,  0.48454767541E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72294509766E+005,  0.36262752439E+001,  0.30245106409E-004,  0.00000000000E+000,  0.31881446992E-006,  0.48454556813E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72294884766E+005,  0.36262438783E+001,  0.30244843432E-004,  0.00000000000E+000,  0.31881169956E-006,  0.48454135327E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72295634766E+005,  0.36261811385E+001,  0.30244317406E-004,  0.00000000000E+000,  0.31880615808E-006,  0.48453292240E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72297134766E+005,  0.36260556300E+001,  0.30243265111E-004,  0.00000000000E+000,  0.31879507257E-006,  0.48451605676E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72297146484E+005,  0.36260546495E+001,  0.30243256890E-004,  0.00000000000E+000,  0.31879498596E-006,  0.48451592500E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72297169922E+005,  0.36260526884E+001,  0.30243240448E-004,  0.00000000000E+000,  0.31879481275E-006,  0.48451566147E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72297216797E+005,  0.36260487662E+001,  0.30243207563E-004,  0.00000000000E+000,  0.31879446632E-006,  0.48451513442E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72297310547E+005,  0.36260409217E+001,  0.30243141793E-004,  0.00000000000E+000,  0.31879377346E-006,  0.48451408029E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72297498047E+005,  0.36260252323E+001,  0.30243010249E-004,  0.00000000000E+000,  0.31879238770E-006,  0.48451197197E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72297873047E+005,  0.36259938518E+001,  0.30242747147E-004,  0.00000000000E+000,  0.31878961602E-006,  0.48450775510E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72298623047E+005,  0.36259310845E+001,  0.30242220890E-004,  0.00000000000E+000,  0.31878407211E-006,  0.48449932054E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72300123047E+005,  0.36258055280E+001,  0.30241168193E-004,  0.00000000000E+000,  0.31877298236E-006,  0.48448244846E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72300134766E+005,  0.36258045471E+001,  0.30241159969E-004,  0.00000000000E+000,  0.31877289572E-006,  0.48448231665E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72300158203E+005,  0.36258025853E+001,  0.30241143520E-004,  0.00000000000E+000,  0.31877272244E-006,  0.48448205302E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72300205078E+005,  0.36257986616E+001,  0.30241110623E-004,  0.00000000000E+000,  0.31877237588E-006,  0.48448152577E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72300298828E+005,  0.36257908141E+001,  0.30241044828E-004,  0.00000000000E+000,  0.31877168276E-006,  0.48448047124E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72300486328E+005,  0.36257751189E+001,  0.30240913236E-004,  0.00000000000E+000,  0.31877029649E-006,  0.48447836215E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72300861328E+005,  0.36257437273E+001,  0.30240650040E-004,  0.00000000000E+000,  0.31876752382E-006,  0.48447414378E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72301611328E+005,  0.36256809391E+001,  0.30240123609E-004,  0.00000000000E+000,  0.31876197807E-006,  0.48446570642E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72303111328E+005,  0.36255553458E+001,  0.30239070604E-004,  0.00000000000E+000,  0.31875088508E-006,  0.48444882941E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72303123047E+005,  0.36255543646E+001,  0.30239062377E-004,  0.00000000000E+000,  0.31875079841E-006,  0.48444869756E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72303146484E+005,  0.36255524022E+001,  0.30239045924E-004,  0.00000000000E+000,  0.31875062508E-006,  0.48444843385E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72303193359E+005,  0.36255484774E+001,  0.30239013017E-004,  0.00000000000E+000,  0.31875027842E-006,  0.48444790644E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72303287109E+005,  0.36255406277E+001,  0.30238947204E-004,  0.00000000000E+000,  0.31874958510E-006,  0.48444685161E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72303474609E+005,  0.36255249281E+001,  0.30238815574E-004,  0.00000000000E+000,  0.31874819843E-006,  0.48444474192E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72303849609E+005,  0.36254935277E+001,  0.30238552306E-004,  0.00000000000E+000,  0.31874542501E-006,  0.48444052240E-009,  0.00000000000E+000,  0.00000000000E+000
